,,,site,Bleached
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T
,,,site_1,T